# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  215,20240101,  233,   62,   73,  100,    1,   40,   18,  160,    1,   82,   57,   18,   99,   12,   43,   18,   40,   51,  278,   48,   51,   13,    1,10007,10046,   16, 9949,    1,   50,    3,   75,    6,    7,   79,   92,   23,   70,   10,    4
  215,20240102,  223,   86,   97,  160,   19,   60,   12,  260,   19,  109,   73,    1,  127,   18,   70,    6,    2,    3,   64,  111,  196,   35,   16, 9867, 9951,    1, 9797,   19,   37,    4,   70,   17,    8,   87,   94,    3,   74,   22,    1
  215,20240103,  252,   68,   72,  110,    1,   30,   18,  200,    1,   96,   77,   18,  110,   14,   69,   18,   14,   18,  179,   60,  120,   29,    1, 9893, 9951,   24, 9858,    1,   39,    9,   70,   19,    8,   85,   91,   18,   77,    2,    3
  215,20240104,  252,   18,   41,   60,    5,   20,   18,  120,    5,   81,   66,   17,   95,   13,   53,   18,    7,    9,  149,   76,   99,   23,   22,10008,10031,   15, 9962,    1,   50,   17,   70,    8,    8,   90,   94,   22,   86,   15,    2
  215,20240105,   82,    6,   42,   60,    7,   20,   17,  130,    7,   74,   55,   24,   89,    4,   53,   24,    0,    0,   86,   32,   44,   25,    9, 9967,10044,   24, 9921,   11,   41,    9,   70,    6,    8,   90,   95,    1,   83,    6,    1
  215,20240106,   17,   50,   50,   60,   13,   30,    1,  100,   22,   37,   13,   24,   55,    1,    9,   24,    8,   10,  190,    0,    0,    0,    1,10126,10187,   24,10049,    1,   63,    5,   75,   12,    7,   83,   89,    5,   77,   13,    2
  215,20240107,   51,   49,   52,   80,   13,   30,   18,  120,   13,    4,  -21,   22,   17,   13,  -32,   24,   36,   45,  329,    0,    0,    0,    1,10259,10315,   24,10190,    1,   69,    7,   80,   13,    5,   78,   86,   21,   67,   14,    4
  215,20240108,   66,   63,   63,   80,   10,   40,    1,  140,   15,  -11,  -25,   24,    2,   14,  -33,   24,   17,   21,  191,    0,   -1,   -1,    1,10329,10343,   24,10314,    1,   75,    1,   83,   13,    4,   70,   78,    1,   61,   16,    2
  215,20240109,   71,   64,   65,   80,   20,   50,   24,  120,   15,  -22,  -43,    8,    0,   15,  -52,   12,   70,   88,  471,    0,    0,    0,    1,10334,10349,    9,10322,   24,   75,    1,   83,   10,    0,   59,   76,    4,   45,   13,    5
  215,20240110,   68,   43,   44,   60,    2,   30,   19,   90,    7,  -20,  -39,    6,    5,   13,  -50,   24,   70,   87,  451,    0,    0,    0,    1,10310,10333,   24,10295,   14,   75,   24,   83,    1,    0,   58,   70,   24,   46,   12,    4
  215,20240111,   20,   20,   24,   40,   18,   10,    4,   70,   21,    1,  -70,    7,   53,   18,  -92,   12,   11,   14,  191,    0,    0,    0,    1,10347,10363,   10,10333,    1,   46,    8,   79,    1,    5,   84,   91,    6,   67,    1,    2
  215,20240112,  346,   17,   20,   40,   12,    0,    6,   80,   12,   38,   16,   22,   61,   13,   10,   24,    6,    7,  174,    0,   -1,   -1,    1,10329,10349,    2,10291,   24,   21,   24,   75,   12,    8,   89,   98,   24,   80,   11,    2
  215,20240113,  273,   49,   50,   70,    9,   20,    1,  110,    9,   49,   15,    1,   66,   24,   10,    6,    0,    0,   69,    6,    1,    1,   16,10220,10285,    1,10160,   24,   56,   15,   70,    2,    8,   86,   97,    1,   81,    9,    1
  215,20240114,  294,   50,   52,   70,   13,   30,    4,  130,   18,   48,   27,   22,   65,    1,   19,   24,    5,    6,  158,   28,   27,    5,   20,10088,10153,    1,10039,   24,   62,   21,   80,   12,    7,   79,   90,   15,   67,   12,    2
  215,20240115,  309,   64,   66,   80,    9,   30,   22,  170,   13,   26,    6,   23,   43,    4,    2,   24,   17,   21,  238,   38,   70,   12,    7,10045,10090,   24,10018,    8,   19,    7,   80,   24,    6,   80,   91,    7,   69,   24,    3
  215,20240116,  241,   43,   51,   70,   19,   30,    6,  120,    2,   18,    0,   24,   41,   15,   -7,   24,   50,   61,  401,   11,    9,    6,    5,10064,10093,    1,10009,   24,   50,    3,   83,   15,    7,   72,   91,    4,   57,   10,    5
  215,20240117,  174,   13,   26,   50,    1,   10,   12,   80,    1,   -2,  -14,    6,   20,   22,  -34,   24,    0,    0,  188,    0,   -1,   -1,    1, 9930,10000,    1, 9892,   14,   63,   18,   75,   22,    8,   82,   89,   17,   74,   22,    2
  215,20240118,  301,   12,   19,   40,   11,    0,    6,  110,   12,   -5,  -52,    8,   46,   11,  -75,   12,   50,   60,  411,    9,   36,   20,   22,10034,10133,   24, 9946,    1,   50,    2,   80,   24,    3,   86,   97,    5,   69,   24,    4
  215,20240119,  255,   41,   48,   70,   13,   30,    7,  140,    5,   28,  -20,    8,   51,   14,  -31,   12,   60,   72,  475,    1,    1,    1,    1,10200,10250,   24,10136,    1,   57,    6,   80,    2,    3,   76,   92,    9,   65,   14,    6
  215,20240120,  197,   56,   58,   80,   13,   40,   21,  110,   12,    5,   -7,    5,   21,   13,  -14,    6,   52,   62,  414,    0,    0,    0,    1,10258,10277,   11,10221,   24,   57,    5,   83,   21,    7,   76,   89,    2,   60,   22,    4
  215,20240121,  196,   93,   95,  140,   23,   60,    1,  220,   23,   43,    6,    1,   93,   24,    1,    6,    2,    2,  141,    5,    2,    2,   22,10148,10207,    1,10048,   24,   64,   21,   83,    1,    8,   75,   87,   22,   57,    5,    2
  215,20240122,  235,  104,  110,  140,    1,   80,   21,  240,    1,   95,   54,   20,  120,    6,   48,   24,   57,   67,  443,   32,   39,   24,   20,10072,10160,   24,10008,    4,   27,   20,   70,    2,    5,   79,   90,    4,   71,   13,    6
  215,20240123,  230,   86,   93,  150,   21,   50,    8,  260,   24,   85,   60,    8,  124,   24,   47,   12,   35,   41,  305,   59,   65,   14,   17,10186,10244,    9,10112,   24,   37,   17,   69,   21,    6,   83,   93,   18,   73,    1,    4
  215,20240124,  250,   97,   99,  150,    1,   60,   23,  250,    2,   97,   77,   24,  123,    1,   66,   24,   22,   25,  302,    1,    1,    1,    2,10205,10279,   24,10115,    1,   29,    1,   63,    3,    6,   77,   90,    2,   71,    7,    4
  215,20240125,  222,   32,   38,   80,   24,   10,    6,  150,   24,   72,   15,    7,  103,   21,  -11,   12,    2,    2,  191,   21,   21,   10,   19,10263,10292,    8,10218,   24,   22,   17,   70,   23,    7,   91,   98,    8,   80,   13,    3
  215,20240126,  259,   61,   75,  120,    9,   30,   21,  220,    9,   83,   35,   24,  119,    7,   21,   24,   64,   73,  537,   31,   50,   23,    6,10256,10341,   24,10172,    6,   50,    6,   70,    2,    3,   80,   94,    6,   66,   11,    8
  215,20240127,  197,   28,   32,   50,   12,   20,   20,   70,   12,   35,    1,   24,   83,   14,  -35,   24,   74,   84,  531,    0,    0,    0,    1,10344,10356,   11,10325,   24,   58,    8,   70,   12,    5,   88,   96,    7,   72,   14,    6
  215,20240128,  148,   35,   36,   50,   11,   20,    1,   70,   11,   38,  -19,    2,   89,   14,  -43,    6,   76,   86,  578,    0,    0,    0,    1,10266,10320,    1,10234,   23,   63,    1,   82,   15,    7,   77,   94,    1,   62,   14,    7
  215,20240129,  186,   32,   33,   50,   11,   20,   18,   70,   11,   71,   32,    6,  109,   13,   13,    6,   50,   56,  467,    0,    0,    0,    1,10251,10260,   16,10239,    1,   63,   22,   75,   13,    8,   85,   92,   23,   76,   14,    6
  215,20240130,  240,   38,   48,   90,   10,   20,   23,  160,   11,   80,   52,   23,  108,    8,   44,   24,    0,    0,  139,   33,   15,    5,   15,10277,10345,   24,10236,    5,   28,   14,   70,    1,    8,   89,   96,   17,   83,    7,    2
  215,20240131,  225,   56,   58,  100,   20,   10,    3,  160,   16,   70,   51,    4,   93,   24,   45,    6,    3,    3,  188,   19,   33,   21,   24,10297,10345,    1,10235,   22,   57,   24,   80,   13,    8,   79,   93,   24,   69,   13,    3
  215,20240201,  279,   37,   44,   90,    1,   30,    7,  140,    1,   66,   37,   20,   92,    1,   23,   24,   78,   86,  618,    9,    6,    6,    1,10303,10329,   18,10239,    1,   58,    2,   64,   12,    4,   84,   94,    1,   75,   12,    8
  215,20240202,  240,   71,   71,   90,   16,   50,    1,  150,   13,   83,   63,    1,  104,   24,   57,    6,   19,   21,  363,    0,    0,    0,    1,10269,10299,    1,10252,   16,   59,   19,   70,   22,    7,   86,   93,   19,   78,    3,    5
  215,20240203,  251,   82,   83,  100,   14,   80,    1,  150,    4,  102,   92,    6,  113,   13,   87,    6,   21,   23,  350,   12,   29,   23,   23,10248,10256,    1,10233,   23,   36,   22,   70,    1,    8,   87,   94,   23,   83,    1,    5
  215,20240204,  255,   87,   88,  110,   13,   50,    4,  190,   14,  101,   88,    4,  114,   16,   85,    6,   13,   14,  265,    0,   -1,   -1,    1,10210,10236,    2,10188,   20,   57,    1,   70,    9,    8,   89,   95,    1,   82,   22,    4
  215,20240205,  239,   97,   98,  120,   13,   80,    5,  210,   15,   93,   85,    7,  101,   24,   79,   12,    3,    3,  295,    0,    0,    0,    1,10174,10200,    1,10135,   24,   60,    2,   70,   19,    8,   84,   87,    3,   81,   14,    4
  215,20240206,  240,   97,  106,  130,   11,   40,   24,  230,   13,  101,   55,   24,  116,   11,   53,   24,    8,    9,  308,   62,  137,   54,   22,10075,10129,    1,10034,   21,   38,   22,   64,   23,    8,   84,   95,   22,   78,   15,    5
  215,20240207,   25,   11,   20,   40,    1,    0,   22,   70,    1,   46,    4,   24,   75,   12,  -19,   24,   41,   44,  473,   39,   36,   12,    1,10054,10070,   11,10044,   23,   12,   24,   80,   16,    8,   82,   98,   23,   64,   15,    6
  215,20240208,  101,   32,   35,   80,   15,    0,    1,  120,   15,   32,    3,    1,   91,   24,  -14,    6,    0,    0,  142,  134,  173,   20,   15, 9958,10043,    1, 9861,   24,   20,   23,   63,   11,    8,   94,   98,    2,   87,   10,    2
  215,20240209,  188,   53,   55,   80,   12,   30,   21,  130,    8,  110,   91,    1,  127,   14,   87,    6,    3,    3,  291,   58,   69,   16,    4, 9829, 9849,    1, 9812,    7,   57,    4,   75,   13,    8,   86,   96,    1,   75,   15,    4
  215,20240210,  139,   27,   33,   40,    1,   20,   11,   70,   24,  106,   93,    4,  122,   14,   83,    6,   22,   23,  405,   16,    4,    2,    2, 9859, 9869,   18, 9841,    1,   57,   24,   70,    1,    8,   88,   95,   24,   82,   13,    6
  215,20240211,  225,   22,   31,   40,    1,   20,    4,   80,    7,   86,   51,   24,  101,    1,   38,   24,    2,    2,  289,   61,   49,   17,    4, 9907, 9971,   24, 9859,    3,   12,    5,   66,   17,    8,   91,   98,    4,   84,   12,    4
  215,20240212,  248,   40,   42,   70,   13,   30,    1,  110,   13,   67,   26,   23,   93,   12,   13,   24,   53,   54,  597,    0,   -1,   -1,    1,10051,10130,   24, 9978,    1,   60,    1,   75,   11,    5,   86,   93,    7,   79,   13,    8
  215,20240213,  201,   53,   55,   90,   22,   40,    1,  150,   24,   70,   36,    1,   96,   12,   24,    6,   40,   41,  492,   45,   35,   18,   24,10142,10158,   11,10114,   24,   39,   23,   80,   14,    8,   85,   94,   24,   69,   14,    7
  215,20240214,  229,   72,   73,   90,    3,   50,   24,  150,   16,  112,   87,    1,  122,   14,   84,    6,    0,    0,  131,   74,  113,   33,   12,10140,10158,   22,10112,    1,   22,    9,   65,   15,    8,   94,   96,    9,   91,    4,    2
  215,20240215,  184,   43,   47,   60,    4,   30,   17,   90,    8,  132,  117,   24,  162,   14,  105,   24,   21,   21,  441,   47,   84,   32,    8,10118,10154,    1,10084,   24,   34,    4,   75,   14,    8,   85,   97,    7,   73,   21,    7
  215,20240216,  246,   38,   45,   60,    9,   30,    1,  110,   10,  107,   91,   20,  127,    9,   87,    6,   26,   26,  358,   22,   24,   14,   11,10144,10239,   24,10073,    4,   27,   10,   75,    1,    8,   87,   96,   12,   79,    6,    5
  215,20240217,  234,   28,   34,   50,    1,   20,    6,   90,   23,  102,   86,    7,  123,   15,   82,   12,   11,   11,  348,    0,   -1,   -1,    1,10300,10321,   13,10245,    1,   62,   18,   75,   13,    8,   86,   94,    6,   71,   16,    5
  215,20240218,  238,   50,   69,   90,   15,   50,   23,  130,   14,   94,   83,   24,  115,    1,   78,   24,    0,    0,  133,  163,  188,   26,   12,10239,10296,    1,10182,   14,   23,   13,   70,    1,    8,   92,   95,   14,   83,    1,    2
  215,20240219,  271,   50,   53,   80,   12,   30,    8,  140,   12,   88,   63,   22,  105,   11,   49,   24,    5,    5,  248,    9,   14,    9,   15,10267,10283,   24,10250,   15,   57,   16,   70,   10,    8,   88,   93,    1,   82,    3,    4
  215,20240220,  236,   60,   62,  100,   16,   30,    3,  170,   17,   89,   62,    8,  111,   12,   54,   12,   25,   24,  540,    0,   -1,   -1,    1,10253,10283,    1,10210,   24,   38,   18,   70,   20,    8,   86,   93,    8,   72,   12,    8
  215,20240221,  208,   71,   75,  100,   17,   50,    5,  170,   14,   94,   87,   15,  107,   24,   83,   18,    0,    0,  235,   89,   79,   16,   17,10093,10207,    1, 9977,   24,   25,   22,   73,   12,    8,   88,   96,   23,   79,   12,    3
  215,20240222,  220,   58,   74,  120,   20,   40,    5,  210,   18,   97,   47,   23,  132,   17,   43,   24,    3,    3,  281,   76,  129,   38,   18, 9854, 9971,    1, 9723,   17,   28,    1,   70,   10,    8,   89,   94,    1,   75,   24,    4
  215,20240223,  209,   70,   75,  110,   10,   40,   19,  190,   13,   62,   45,    8,   89,   13,   40,   24,   17,   16,  476,   28,   39,   13,    8, 9893, 9928,   24, 9865,    1,   36,    8,   75,    3,    8,   80,   89,   24,   71,    1,    6
  215,20240224,  189,   39,   40,   70,   11,   10,   22,  100,   10,   48,   21,    5,   68,   16,   11,    6,    6,    6,  305,   56,   83,   31,   20, 9972,10003,   20, 9930,    1,   57,   23,   75,   11,    8,   87,   95,   21,   79,   11,    4
  215,20240225,  152,   21,   41,   60,   24,   20,   15,  100,   20,   68,   49,    7,   96,   12,   43,   12,   57,   54,  878,    8,    4,    3,    8, 9993,10002,   11, 9986,    2,   50,    3,   75,   10,    8,   83,   94,    3,   70,   15,   12
  215,20240226,   38,   72,   73,   80,    7,   50,   24,  150,    8,   57,   40,   24,   70,   13,   30,   24,    9,    8,  418,    0,    0,    0,    1,10077,10171,   24, 9994,    1,   65,    6,   75,    1,    7,   79,   85,    7,   73,   15,    5
  215,20240227,    9,   19,   30,   50,    1,   10,   18,   70,    1,   44,   10,    7,   89,   13,    1,   24,   92,   86, 1100,    0,    0,    0,    1,10191,10200,   10,10174,    1,   65,    7,   80,   10,    4,   81,   94,   20,   66,   12,   14
  215,20240228,  195,   44,   44,   70,   21,   20,    1,  110,   20,   74,   31,    1,   90,   16,   21,    6,    0,    0,  273,    2,    1,    1,   17,10187,10209,    9,10139,   24,   56,    7,   70,    1,    8,   88,   93,   17,   84,   19,    4
  215,20240229,  181,   59,   60,   70,    1,   50,   16,  110,    1,   86,   72,    2,   97,   24,   70,    6,    0,    0,  182,   68,   43,   12,    7,10065,10133,    1, 9998,   24,   36,    6,   70,   24,    8,   93,   95,    7,   87,    1,    3
  215,20240301,  174,   48,   61,   90,   12,   30,    6,  160,   14,   72,   36,    6,  101,    2,   23,    6,   28,   26,  531,   34,   24,    7,   24, 9993,10020,    7, 9955,   23,   63,    3,   80,   12,    7,   84,   93,    3,   69,   12,    7
  215,20240302,  153,   54,   56,   80,   13,   30,   18,  130,   13,   90,   56,    7,  116,   15,   48,   12,   55,   50,  973,   10,    6,    6,    1, 9982, 9998,   10, 9972,   21,   70,    1,   83,   13,    7,   73,   88,    1,   57,   12,   14
  215,20240303,  279,    8,   31,   50,    1,    0,    4,  100,   19,   91,   62,    5,  146,   14,   45,    6,   26,   24,  666,    0,   -1,   -1,    1,10020,10082,   24, 9976,    1,   61,    4,   80,   13,    8,   84,   97,    6,   64,   14,   10
  215,20240304,  332,   14,   23,   50,    1,    0,    9,  100,    1,   70,   38,   19,  106,   13,   -3,   24,   64,   58, 1035,    0,    0,    0,    1,10117,10127,   24,10086,    1,   65,   23,   82,   15,    7,   79,   92,   24,   55,   15,   14
  215,20240305,  100,    8,   15,   30,    2,   10,    4,   50,    9,   64,   27,    4,   91,   15,   -8,    6,    7,    6,  344,   19,    3,    1,    9,10145,10176,   24,10122,    3,   31,    9,   72,   15,    8,   90,   97,    4,   76,   15,    5
  215,20240306,  106,   11,   22,   40,   12,    0,   18,   60,   11,   72,   34,    7,  121,   13,   12,   12,   68,   61, 1070,    0,    0,    0,    1,10227,10262,   23,10181,    1,    6,    8,   76,   12,    3,   88,   98,    7,   63,   13,   14
  215,20240307,   82,   52,   53,   80,   14,   30,    1,  120,   14,   60,   32,   24,  101,   15,   23,   24,   82,   73, 1159,    0,    0,    0,    1,10227,10262,    1,10186,   24,   39,    3,   73,   11,    2,   79,   93,    3,   59,   13,   15
  215,20240308,   94,   60,   61,  100,   14,   40,    4,  150,   14,   54,    7,    6,   99,   15,   -4,    6,  103,   91, 1333,    0,    0,    0,    1,10109,10181,    1,10047,   24,   60,    1,   72,   17,    0,   70,   84,    1,   55,   14,   17
  215,20240309,  104,   56,   56,   70,   14,   40,   24,  130,   16,   84,   36,    3,  134,   16,   25,    6,   50,   44,  995,    0,    0,    0,    1,10003,10044,    1, 9982,   16,   59,    5,   76,   16,    7,   70,   80,    5,   58,   15,   14
  215,20240310,   72,   43,   43,   60,    9,   20,   23,   90,    6,   89,   61,    7,  116,   14,   54,   12,    5,    4,  461,    0,    0,    0,    1, 9969, 9983,   24, 9956,   15,   61,   24,   70,   12,    8,   73,   81,   24,   65,   14,    7
  215,20240311,  348,   21,   26,   40,   14,   10,    2,   60,   22,   72,   58,    3,   85,   13,   44,    6,    0,    0,  280,   71,   34,   11,   19,10032,10096,   24, 9986,    1,   28,   22,   61,    1,    8,   92,   95,   20,   82,    1,    4
  215,20240312,  217,   29,   43,   60,   13,   20,   23,   90,   12,   87,   69,    4,  110,   13,   66,    6,   10,    9,  543,   75,   48,    9,    2,10122,10139,   10,10102,    1,   19,   20,   63,    9,    8,   88,   98,   22,   74,   12,    8
  215,20240313,  230,   60,   62,   90,   16,   40,   24,  150,   14,  113,   97,   24,  127,   16,   86,   24,    7,    6,  483,    6,    2,    2,    2,10136,10145,   12,10122,    1,   56,    1,   75,   14,    8,   85,   95,    1,   75,   15,    7
  215,20240314,  201,   51,   52,   70,   11,   40,    6,  110,   11,  129,   81,    6,  168,   14,   71,    6,   94,   80, 1363,    0,    0,    0,    1,10097,10132,    1,10059,   24,   59,    7,   83,   17,    7,   75,   92,    6,   58,   14,   21
  215,20240315,  229,   80,   81,  110,   12,   50,    2,  180,   12,  123,  103,   21,  143,   14,   95,   24,   57,   48,  934,   22,   17,    8,    3,10066,10093,   24,10055,    2,   58,   18,   75,   12,    7,   83,   91,    5,   75,   15,   14
  215,20240316,  310,   27,   38,   50,    1,   10,   19,  110,    7,   75,   36,   21,  104,    1,    5,   24,   49,   41, 1025,   11,    8,    4,    2,10199,10236,   18,10107,    1,   58,    1,   80,    9,    8,   79,   96,   21,   59,   13,   14
  215,20240317,  149,   37,   39,   50,   13,   30,    1,   80,   19,   98,   55,    1,  135,   15,   43,    6,    4,    3,  510,   66,   40,   10,   17,10182,10224,    1,10149,   23,   34,   22,   75,   11,    8,   86,   97,   22,   75,   11,    7
  215,20240318,  254,   22,   29,   50,   10,   10,    3,   70,   10,  103,   66,   22,  134,   14,   31,   24,   69,   58, 1326,    0,    0,    0,    1,10159,10172,   20,10139,    3,   57,    1,   77,   12,    7,   86,   96,   19,   61,   12,   20
  215,20240319,  218,   31,   37,   70,   14,   20,    1,  100,   11,  113,   82,   24,  161,   13,   63,   24,   58,   48, 1057,    0,    0,    0,    1,10178,10193,   20,10162,    3,   63,    1,   81,   14,    8,   80,   94,   24,   62,   14,   16
  215,20240320,  314,    5,   16,   30,   14,   10,    1,   40,   13,  107,   67,    6,  155,   15,   49,    6,   38,   31,  945,    0,   -1,   -1,    1,10192,10205,   24,10184,    3,   20,   23,   75,   16,    8,   86,   98,   22,   66,   15,   14
  215,20240321,  274,   24,   43,   60,    4,   20,   10,   90,    4,   93,   73,    7,  111,   23,   69,    6,   14,   11,  569,    0,    0,    0,    1,10237,10266,   12,10206,   24,   50,   23,   75,   14,    8,   86,   96,    3,   78,   15,    8
  215,20240322,  252,   40,   44,   70,    6,   10,   20,  120,    5,   92,   60,   22,  107,    1,   50,   24,    0,    0,  358,   36,   18,    8,   15,10158,10198,    1,10114,   24,   22,   10,   64,   16,    8,   89,   97,   22,   81,   16,    5
  215,20240323,  264,   71,   73,  110,   12,   30,    1,  170,   16,   75,   57,    2,   94,   12,   37,    6,   78,   63, 1347,   10,    5,    3,   23,10080,10108,    1,10037,   24,   68,   24,   80,   17,    5,   71,   80,   23,   63,   13,   18
  215,20240324,  289,   82,   84,  110,   14,   40,   24,  200,    4,   73,   50,    5,   87,   11,   46,   24,   16,   13,  601,   56,   87,   20,    5,10053,10081,   21,10023,    3,   50,   16,   68,    7,    7,   80,   88,    4,   75,    7,    8
  215,20240325,  129,   27,   37,   60,   24,   10,    6,   90,   23,   74,    5,    6,  124,   14,  -20,    6,  107,   86, 1596,    0,    0,    0,    1,10038,10078,    1, 9978,   24,   50,    6,   82,   19,    6,   72,   98,    6,   50,   15,   22
  215,20240326,  120,   42,   43,   60,    9,   30,   18,   80,    1,   84,   39,    6,  110,   15,   25,    6,   33,   26,  992,    0,   -1,   -1,    1, 9903, 9970,    1, 9845,   24,   70,   22,   80,    9,    8,   74,   84,   22,   66,   14,   14
  215,20240327,  190,   44,   48,   70,   14,   30,    1,  110,   14,   98,   78,   22,  125,   16,   56,   24,   40,   32, 1026,    9,    4,    2,    3, 9856, 9868,   20, 9831,    3,   63,    3,   83,   18,    8,   74,   89,    5,   59,   16,   15
  215,20240328,  188,   62,   70,  100,   14,   30,    9,  170,   16,   91,   60,    3,  122,   14,   43,    6,   44,   35,  950,   24,   18,    6,    8, 9851, 9885,   23, 9815,    5,   62,   11,   83,   18,    7,   71,   91,    9,   56,   14,   14
  215,20240329,  191,   60,   61,   80,    1,   30,   19,  140,    2,  110,   79,    7,  143,   15,   72,   12,   47,   37, 1226,    1,    1,    1,   24, 9924, 9962,   23, 9886,    2,   75,    6,   83,    4,    8,   69,   79,    7,   58,   15,   18
  215,20240330,  290,    5,   22,   50,   14,    0,    6,   70,    1,   80,   25,   24,  116,    1,    6,   24,    9,    7,  288,   94,   56,   12,    7, 9972,10006,   23, 9945,   10,    1,   20,   75,    1,    7,   93,   98,    7,   80,    1,    4
  215,20240331,  101,   29,   38,   60,    9,   10,    1,   90,    9,   96,   21,    1,  150,   13,    8,    6,   15,   12,  801,   49,   46,   16,   17, 9961, 9996,    2, 9928,   24,    1,    1,   75,   13,    8,   90,   99,   24,   71,   15,   12
  215,20240401,  227,   36,   40,   70,   13,   10,    4,  120,   13,   95,   61,   22,  138,   16,   25,    6,   47,   36, 1075,    0,    0,    0,    1, 9964,10009,   24, 9924,    1,    4,    2,   81,   15,    6,   83,   99,    2,   59,   15,   16
  215,20240402,  220,   50,   52,   80,   16,   30,   21,  140,   16,   97,   62,    2,  125,   16,   47,    6,   34,   26,  836,   33,   18,    5,   11,10047,10069,   20,10012,    1,   45,   12,   75,    9,    7,   84,   93,   24,   74,   15,   12
  215,20240403,  213,   58,   63,  110,   16,   30,    1,  180,   16,  110,   93,    1,  147,   13,   87,    6,   18,   14,  718,   45,   44,   14,    2,10032,10055,   23,10017,   13,   37,   14,   75,   13,    8,   86,   95,    1,   74,   16,   11
  215,20240404,  230,   68,   73,  110,   11,   30,    3,  200,   11,  120,   92,    2,  140,   15,   84,    6,   61,   46, 1400,   35,   55,   25,    6,10047,10089,   24,10008,    7,   57,    5,   71,    1,    8,   83,   96,    5,   73,   11,   22
  215,20240405,  216,   58,   65,  120,   14,   30,   23,  200,   12,  136,  114,   22,  164,   15,   99,   24,   67,   51, 1209,   25,   21,    6,    9,10076,10110,   23,10043,   10,   57,   11,   79,   17,    7,   80,   92,    1,   63,   14,   19
  215,20240406,  183,   47,   54,  100,   14,   20,    1,  160,   14,  169,   95,    4,  226,   13,   65,    6,   56,   42, 1451,    0,   -1,   -1,    1,10079,10103,    1,10059,   11,   57,    4,   82,   17,    7,   69,   97,    3,   42,   13,   25
  215,20240407,  221,   51,   57,  100,   10,   10,   19,  150,   10,  144,   93,   23,  191,   14,   63,   24,   95,   71, 1788,   16,    9,    7,    2,10116,10133,   11,10092,    2,   65,   23,   81,   10,    7,   72,   91,   23,   50,   13,   29
  215,20240408,  139,   23,   30,   50,   16,   10,    3,   90,   23,  143,   83,    5,  190,   15,   56,    6,   54,   40, 1264,    4,   22,   22,   23,10070,10109,    1,10019,   24,   61,   22,   80,   13,    7,   82,   97,    6,   69,   13,   21
  215,20240409,  230,   80,   85,  120,   12,   40,    1,  190,   14,  110,   95,   24,  135,    1,   88,   24,   12,    9,  732,   11,   11,    5,   17,10095,10194,   24,10027,    1,   58,    5,   80,    7,    8,   73,   89,    1,   65,   20,   11
  215,20240410,  244,   49,   56,   70,    1,   40,    5,  120,    1,  114,   80,    6,  144,   14,   66,    6,  107,   79, 2056,    0,   -1,   -1,    1,10267,10287,   13,10204,    1,   68,    2,   82,   15,    7,   64,   76,    5,   39,   15,   31
  215,20240411,  226,   54,   55,   80,    2,   40,   13,  120,    2,  130,  117,    4,  146,   14,  113,    6,    0,    0,  521,    3,    3,    3,    6,10299,10315,   21,10267,    4,   30,    9,   80,    1,    8,   87,   94,    9,   67,    1,    8
  215,20240412,  232,   66,   68,   80,   10,   50,    7,  150,   11,  155,  127,    6,  183,   14,  119,    6,   92,   67, 1811,    0,    0,    0,    1,10287,10302,    1,10264,   24,   60,    3,   83,   24,    8,   72,   90,    2,   61,   14,   30
  215,20240413,  234,   61,   65,   90,   19,   40,    4,  160,   19,  163,  119,    5,  212,   14,  107,    6,   84,   61, 1774,    0,    0,    0,    1,10221,10259,    1,10184,   18,   63,   24,   83,   19,    8,   70,   85,   24,   55,   17,   30
  215,20240414,  290,   31,   36,   60,   10,   10,   19,  100,   10,  104,   54,   24,  129,   11,   28,   24,   82,   59, 1778,    0,    0,    0,    1,10211,10241,   10,10149,   24,   70,   20,   81,   14,    8,   70,   84,   20,   57,   14,   26
  215,20240415,  254,   69,   79,  120,   15,   30,    2,  210,   12,   85,   42,   20,  104,   11,   36,   24,   36,   26,  780,   51,  118,   28,   20,10048,10139,    1,10000,   13,   41,   12,   82,   16,    7,   75,   88,    2,   62,   15,   11
  215,20240416,  322,   73,   83,  110,    1,   40,   23,  190,    4,   83,   54,    2,  106,   17,   48,   24,   37,   27,  775,   53,  178,  100,   11,10057,10124,   23, 9986,    4,   20,   11,   75,   21,    7,   80,   93,   11,   71,   17,   11
  215,20240417,  326,   37,   40,   70,   16,   10,   22,  130,   13,   60,   18,   23,   93,    9,    6,   24,   48,   34, 1195,   24,   27,   10,    2,10127,10159,   24,10117,    9,   57,    7,   75,    3,    7,   80,   95,   22,   70,    9,   16
  215,20240418,  284,   30,   40,   90,   24,   10,    3,  150,   24,   73,    4,    3,  109,   12,   -9,    6,   81,   58, 1675,   16,   12,   10,   23,10188,10213,   13,10137,   24,    7,    3,   81,   10,    6,   77,   98,    3,   64,   10,   23
  215,20240419,  318,   84,   95,  120,   15,   70,    6,  210,   14,   88,   65,   22,  112,   12,   58,   24,   45,   32, 1257,   69,   72,   14,    3,10121,10178,   24,10088,    8,   28,    3,   69,   13,    7,   80,   95,    3,   68,   14,   18
